day,sl
"14,31,3,310,14,179,3,163,14,31,3,310,14,59,3,283,14,31,3,310,14,114,3,228,14,52,3,290,14,171,3,171,14,109,3,223,9,10,14,116,3,226,14,84,3,256,9,2,14,155,3,186,14,70,3,272,14,73,3,269,14,26,3,316,14,162,3,179,14,86,3,256,14,102,3,240,14,55,3,279,9,8,14,109,3,233,14,22,3,309,9,11,14,52,3,290,14,91,3,251,14,62,3,279,14,86,3,256,14,35,3,301,15,7,14,40,3,295,15,8,14,9,3,333,14,56,3,286,14,13,3,329,14,68,3,274,14,29,3,313,14,182,3,160",2
"9,1023,8,2046,16,7842",2
"1,333,9,9,1,340,9,2,1,678,9,5,1,990,9,34,1,309,9,32,1,7152,9,9,1,328,9,14,1,316,9,26,1,682",2
"14,133,3,209,14,137,3,205,14,29,3,313,14,93,3,248,14,141,3,201,14,70,3,260,9,8,15,4,14,31,3,310,14,31,3,310,14,50,3,286,15,6,14,166,3,176,14,273,3,69,14,62,3,279,14,31,3,303,9,8,14,228,3,114,14,33,3,309,14,31,3,310,14,18,3,324,14,69,3,273,14,8,3,4763,15,4,3,341",2
"5,286,10,56,5,281,10,61,5,334,10,8,5,335,13,7,5,328,13,14,5,678,13,5,5,301,9,29,13,13,5,336,13,6,5,4092,9,0,5,682,9,0,5,3410",0
"2,341,16,10570",2
"5,195,9,11,8,137,5,232,9,14,8,96,5,119,8,223,5,33,8,309,5,55,8,287,5,321,15,21,5,1643,9,62,5,341,8,341,16,6478",3
"9,92,8,250,9,35,8,273,15,35,9,137,15,205,9,127,8,2184,15,77,8,4774,16,2728",2
"5,341,16,10570",2
"13,191,5,151,13,35,5,239,9,69,13,15,5,531,9,137,5,171,9,171,5,1251,15,114,5,313,15,29,5,160,15,182,5,3215,9,0,15,195,5,682,16,3069",2
"5,1023,9,6137,16,4092",2
"12,5456,16,5456",3
