empl_id,start_date,glc,l2_org
24413,2011-11-01 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24414,2011-11-14 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24416,2019-02-04 00:00:00,L4 Employees,LM: Logistics
24418,2011-11-01 00:00:00,L4 Employees,LM: Logistics
24422,2011-11-08 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24423,2011-11-14 00:00:00,Not Applicable,SL: Legacy
24427,2015-01-01 00:00:00,L4 Employees,AA: Advanced Analytics
24436,2011-12-27 00:00:00,L4 Employees,LM: Logistics
24437,2012-01-03 00:00:00,Not Applicable,SL: Legacy
24438,2012-01-03 00:00:00,L4 Employees,LM: Logistics
24443,2012-02-06 00:00:00,L4 Employees,AA: Advanced Analytics
24444,2012-01-23 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24450,2012-03-05 00:00:00,L3 Management,AA: Advanced Analytics
24451,2015-02-16 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24465,2012-02-27 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24503,2012-03-19 00:00:00,L4 Employees,DS: Digital Services
24506,2012-03-12 00:00:00,L4 Employees,LM: Logistics
24510,2015-01-01 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24513,2012-07-16 00:00:00,L2 Management,MA: Mgmt Advisory Svcs
24522,2016-05-31 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24523,2012-05-21 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24527,2012-06-04 00:00:00,L4 Employees,LM: Logistics
24528,2012-06-07 00:00:00,L4 Employees,LM: Logistics
24529,2018-12-17 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24530,2012-06-11 00:00:00,L4 Employees,LM: Logistics
24532,2012-06-18 00:00:00,L4 Employees,LM: Logistics
24533,2012-07-02 00:00:00,L4 Employees,LM: Logistics
24534,2012-07-09 00:00:00,L4 Employees,AA: Advanced Analytics
24537,2012-07-09 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24542,2018-04-09 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24546,2012-08-01 00:00:00,L4 Employees,DS: Digital Services
24547,2012-08-13 00:00:00,L4 Employees,LM: Logistics
24548,2012-08-13 00:00:00,L4 Employees,LM: Logistics
24556,2015-01-16 00:00:00,L4 Employees,AA: Advanced Analytics
24559,2012-08-27 00:00:00,L4 Employees,AA: Advanced Analytics
24567,2012-08-27 00:00:00,L4 Employees,LM: Logistics
24577,2012-09-24 00:00:00,L4 Employees,DS: Digital Services
24580,2012-10-09 00:00:00,L4 Employees,LM: Logistics
24583,2012-10-15 00:00:00,L4 Employees,LM: Logistics
24586,2012-10-15 00:00:00,L4 Employees,AA: Advanced Analytics
24587,2012-10-22 00:00:00,L4 Employees,DS: Digital Services
24589,2012-10-22 00:00:00,L4 Employees,LM: Logistics
24590,2012-10-22 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24595,2012-10-29 00:00:00,L4 Employees,LM: Logistics
24597,2012-10-29 00:00:00,Not Applicable,SL: Legacy
24601,2012-12-03 00:00:00,L4 Employees,AA: Advanced Analytics
24602,2012-12-03 00:00:00,L4 Employees,AA: Advanced Analytics
24603,2012-12-17 00:00:00,L4 Employees,AA: Advanced Analytics
24606,2012-12-10 00:00:00,L4 Employees,LM: Logistics
24607,2013-01-02 00:00:00,Not Applicable,SL: Legacy
24612,2013-01-07 00:00:00,L4 Employees,AA: Advanced Analytics
24613,2013-01-07 00:00:00,L4 Employees,DS: Digital Services
24615,2013-01-07 00:00:00,L4 Employees,DS: Digital Services
24617,2013-01-28 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24619,2013-02-11 00:00:00,L4 Employees,DS: Digital Services
24620,2016-04-04 00:00:00,L4 Employees,DS: Digital Services
24623,2013-02-11 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24624,2013-02-25 00:00:00,L4 Employees,LM: Logistics
24625,2013-02-19 00:00:00,L4 Employees,DS: Digital Services
24629,2013-02-25 00:00:00,L4 Employees,LM: Logistics
24633,2015-07-16 00:00:00,L4 Employees,AA: Advanced Analytics
24637,2013-03-04 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24642,2013-04-01 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24646,2013-04-15 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24652,2013-05-06 00:00:00,Not Applicable,SL: Legacy
